timestamp,message
1593695511098,"START RequestId: c4ce66e9-e33e-4fe4-bef1-938e0e8804e4 Version: $LATEST
"
1593695511119,"3.223.191.105
"
1593695511119,"us-east-1
"
1593695511119,"END RequestId: c4ce66e9-e33e-4fe4-bef1-938e0e8804e4
"
1593695511119,"REPORT RequestId: c4ce66e9-e33e-4fe4-bef1-938e0e8804e4	Duration: 18.39 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695541157,"START RequestId: 09e205e0-ab71-444f-b232-e4b8de99a578 Version: $LATEST
"
1593695541179,"3.223.191.105
"
1593695541179,"us-east-1
"
1593695541179,"END RequestId: 09e205e0-ab71-444f-b232-e4b8de99a578
"
1593695541179,"REPORT RequestId: 09e205e0-ab71-444f-b232-e4b8de99a578	Duration: 19.33 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695571149,"START RequestId: f7bb18df-f37d-491b-bf51-a70abe2c9e6e Version: $LATEST
"
1593695571160,"3.223.191.105
"
1593695571160,"us-east-1
"
1593695571160,"END RequestId: f7bb18df-f37d-491b-bf51-a70abe2c9e6e
"
1593695571160,"REPORT RequestId: f7bb18df-f37d-491b-bf51-a70abe2c9e6e	Duration: 8.11 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695601172,"START RequestId: eb98a1a6-1c3b-4021-88d5-4d80f1a871bc Version: $LATEST
"
1593695601193,"3.223.191.105
"
1593695601193,"us-east-1
"
1593695601197,"END RequestId: eb98a1a6-1c3b-4021-88d5-4d80f1a871bc
"
1593695601197,"REPORT RequestId: eb98a1a6-1c3b-4021-88d5-4d80f1a871bc	Duration: 23.15 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695631105,"START RequestId: 3a9b2669-a8ae-47da-8c38-58e024aabfec Version: $LATEST
"
1593695631119,"3.223.191.105
"
1593695631119,"us-east-1
"
1593695631119,"END RequestId: 3a9b2669-a8ae-47da-8c38-58e024aabfec
"
1593695631119,"REPORT RequestId: 3a9b2669-a8ae-47da-8c38-58e024aabfec	Duration: 9.81 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695661091,"START RequestId: 88422bfe-935a-49c2-88b4-f4efb8f97f28 Version: $LATEST
"
1593695661102,"3.223.191.105
"
1593695661102,"us-east-1
"
1593695661102,"END RequestId: 88422bfe-935a-49c2-88b4-f4efb8f97f28
"
1593695661102,"REPORT RequestId: 88422bfe-935a-49c2-88b4-f4efb8f97f28	Duration: 8.21 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
