@timestamp,@message
2020-07-28 19:48:49.448,"END RequestId: 2b3a577b-f644-4a02-85d1-f1c573f85dbb
"
2020-07-28 19:48:49.448,"REPORT RequestId: 2b3a577b-f644-4a02-85d1-f1c573f85dbb	Duration: 46.01 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 19:48:49.441,"52.70.183.79
"
2020-07-28 19:48:49.399,"START RequestId: 2b3a577b-f644-4a02-85d1-f1c573f85dbb Version: $LATEST
"
2020-07-28 19:38:48.764,"END RequestId: d31a15ca-dc8e-40d4-bf66-191483750451
"
2020-07-28 19:38:48.764,"REPORT RequestId: d31a15ca-dc8e-40d4-bf66-191483750451	Duration: 28.49 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 19:38:48.763,"52.70.183.79
"
2020-07-28 19:38:48.732,"START RequestId: d31a15ca-dc8e-40d4-bf66-191483750451 Version: $LATEST
"
2020-07-28 19:38:48.664,"END RequestId: 969a26d9-7c02-45da-8dae-deebc2d27fb0
"
2020-07-28 19:38:48.664,"REPORT RequestId: 969a26d9-7c02-45da-8dae-deebc2d27fb0	Duration: 38.30 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 19:38:48.663,"52.70.183.79
"
2020-07-28 19:38:48.624,"START RequestId: 969a26d9-7c02-45da-8dae-deebc2d27fb0 Version: $LATEST
"
2020-07-28 19:28:48.217,"END RequestId: bbe62904-c1d7-4789-b98c-b07c7217f804
"
2020-07-28 19:28:48.217,"REPORT RequestId: bbe62904-c1d7-4789-b98c-b07c7217f804	Duration: 56.05 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 19:28:48.198,"52.70.183.79
"
2020-07-28 19:28:48.159,"START RequestId: bbe62904-c1d7-4789-b98c-b07c7217f804 Version: $LATEST
"
2020-07-28 19:28:48.157,"END RequestId: 38fe19c5-21e9-427f-ac4f-f04d7b8b2a4a
"
2020-07-28 19:28:48.157,"REPORT RequestId: 38fe19c5-21e9-427f-ac4f-f04d7b8b2a4a	Duration: 45.60 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 19:28:48.153,"52.70.183.79
"
2020-07-28 19:28:48.109,"START RequestId: 38fe19c5-21e9-427f-ac4f-f04d7b8b2a4a Version: $LATEST
"
2020-07-28 19:18:47.752,"END RequestId: 3a743464-e20a-49e5-8d8a-09e600287e13
"
2020-07-28 19:18:47.752,"REPORT RequestId: 3a743464-e20a-49e5-8d8a-09e600287e13	Duration: 27.22 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 19:18:47.733,"52.70.183.79
"
2020-07-28 19:18:47.722,"START RequestId: 3a743464-e20a-49e5-8d8a-09e600287e13 Version: $LATEST
"
2020-07-28 19:18:47.612,"END RequestId: 33b0777e-ef01-40b2-b7b6-14ee739f0bf3
"
2020-07-28 19:18:47.612,"REPORT RequestId: 33b0777e-ef01-40b2-b7b6-14ee739f0bf3	Duration: 50.13 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 19:18:47.599,"52.70.183.79
"
2020-07-28 19:18:47.559,"START RequestId: 33b0777e-ef01-40b2-b7b6-14ee739f0bf3 Version: $LATEST
"
2020-07-28 19:08:47.047,"END RequestId: 98946d75-66c8-4116-9e12-54a48bf38b3c
"
2020-07-28 19:08:47.047,"REPORT RequestId: 98946d75-66c8-4116-9e12-54a48bf38b3c	Duration: 37.37 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 19:08:47.046,"52.70.183.79
"
